node,degree,weighted_strength,degree_centrality,betweenness_centrality,closeness_centrality
864691135465147122_0,63,62.99999992460266,0.26582278481012656,0.011676151783373173,0.38825346594333937
864691135467571596_0,14,13.999999980508715,0.0590717299578059,0.0010343136603380282,0.22862454356284964
864691135474699328_0,69,68.99999992385209,0.2911392405063291,0.011187968712738066,0.3848175945633098
864691135476092072_0,62,61.9999999295462,0.26160337552742613,0.009797385056444343,0.35760187652675995
864691135476103336_0,35,34.999999954445315,0.14767932489451477,0.007109150568889317,0.321630090130577
864691135483549170_0,67,66.99999992350008,0.28270042194092826,0.01582209083623319,0.3896450554270072
864691135488258362_0,13,12.99999998297378,0.05485232067510548,0.03154650889750221,0.20706851516978098
864691135490570471_0,56,55.99999993808117,0.2362869198312236,0.00547254475005646,0.3535316112654797
864691135490939111_0,32,31.999999956646647,0.1350210970464135,0.0007560169247256064,0.321630090130577
864691135490959335_0,4,3.999999994634263,0.016877637130801686,0.0,0.14641208143317846
864691135491201119_0,68,67.99999991290568,0.2869198312236287,0.01584829285071669,0.39388032776860515
864691135494037136_0,5,4.999999993072984,0.02109704641350211,4.013937475705589e-05,0.1740768141939712
864691135494462352_0,13,12.999999979974007,0.05485232067510548,0.02259562759005383,0.2616389180845608
864691135497647123_0,2,1.99999999665705,0.008438818565400843,0.0,0.2787460781131667
864691135497971219_0,54,53.99999992875698,0.22784810126582278,0.012647269486377018,0.36116601483101335
864691135501537346_0,22,21.999999975911045,0.09282700421940927,0.0223733959764306,0.2542946677523626
864691135501554498_0,17,16.9999999712279,0.07172995780590717,0.00053319950446727,0.33449529373580006
864691135504374724_0,63,62.999999922449376,0.26582278481012656,0.01807098199704078,0.3814420016285439
864691135508700681_0,1,0.9999999984368284,0.004219409282700422,0.0,0.14285278641804866
864691135515918803_0,50,49.99999993708891,0.21097046413502107,0.0025144319814927834,0.33501069480473045
864691135517334410_0,70,69.99999992828714,0.29535864978902954,0.017306402028773458,0.39316806677806515
864691135518692036_0,25,24.999999968364573,0.10548523206751054,0.004810394765834411,0.2816346385081218
864691135556948932_0,3,2.9999999960508186,0.012658227848101264,3.099001168085056e-05,0.15905043228110463
864691135564625239_0,0,0,0.0,0.0,0.0
864691135564854359_0,64,63.99999992890121,0.270042194092827,0.014048222597457064,0.3953126198695819
864691135567718124_0,28,27.999999961974222,0.1181434599156118,0.0006450930558642247,0.34621328173291405
864691135568918406_0,12,11.999999982769022,0.050632911392405056,0.0005324890097245486,0.2674316616583887
864691135577271045_0,43,42.99999994258761,0.18143459915611812,0.06679705172884418,0.3155615978639623
864691135585159292_0,43,42.99999994583266,0.18143459915611812,0.0013319205881178672,0.3365664720251858
864691135590133771_0,28,27.99999996288193,0.1181434599156118,0.016263573084038616,0.2942110161410961
864691135615807849_0,10,9.999999984304552,0.04219409282700422,0.0001252064870845409,0.20786036417616638
864691135615886697_0,31,30.999999959091937,0.13080168776371306,0.013129276575449945,0.2914503229601475
864691135616262249_0,49,48.999999945054945,0.20675105485232065,0.015738142351611115,0.34132172830183677
864691135617783695_0,16,15.999999977012488,0.06751054852320675,0.009518522286277472,0.252229629847181
864691135621959364_0,17,16.99999997294745,0.07172995780590717,0.006649967852349067,0.2773239042452424
864691135644579311_0,22,21.99999996874081,0.09282700421940927,0.008486894655005182,0.2962151783763897
864691135644685807_0,58,57.99999993146822,0.24472573839662445,0.018787574623883477,0.3552646093599184
864691135644688623_0,1,0.99999999956834,0.004219409282700422,0.0,0.14304075061070395
864691135660482800_0,56,55.99999992342404,0.2362869198312236,0.009492237544861807,0.3755128513441624
864691135660486128_0,48,47.99999994169356,0.20253164556962022,0.0054244325194748805,0.3206813288027582
864691135660784368_0,63,62.99999993225886,0.26582278481012656,0.015004926170256639,0.35819100647161456
864691135683979703_0,34,33.99999995363877,0.14345991561181434,0.001085039384837582,0.3552646093599184
864691135684230327_0,15,14.99999998356113,0.06329113924050632,0.009176937015442433,0.2100695081432561
864691135696282266_0,52,51.999999935243835,0.21940928270042193,0.005302375939358032,0.3506805498843065
864691135699540258_0,66,65.99999991858515,0.27848101265822783,0.013778530182835338,0.3868717810111566
864691135700632443_0,8,7.999999991229887,0.03375527426160337,0.004793152164361986,0.23429088462098063
864691135724197035_0,64,63.99999992518699,0.270042194092827,0.014109789062858752,0.39034459771682234
864691135725593151_0,60,59.999999932547105,0.2531645569620253,0.01877164705381072,0.38756139202900186
864691135725806911_0,5,4.999999994452951,0.02109704641350211,0.0002894905154670878,0.2127416251744325
864691135730099129_0,25,24.999999970845906,0.10548523206751054,0.00505379653541657,0.283101485583685
864691135730112441_0,70,69.99999992623083,0.29535864978902954,0.03010336084088101,0.3967553666574271
864691135730165177_0,0,0,0.0,0.0,0.0
864691135730518969_0,15,14.999999979999824,0.06329113924050632,0.009543878608085183,0.22910636557246578
864691135739585428_0,2,1.9999999962635733,0.008438818565400843,2.702821596900373e-05,0.17324457444483668
864691135740188267_0,33,32.9999999562961,0.13924050632911392,0.011570688796088387,0.31149275204623217
864691135748541737_0,0,0,0.0,0.0,0.0
864691135753599437_0,2,1.999999996056463,0.008438818565400843,0.0,0.20589198951540724
864691135754525394_0,46,45.99999994707882,0.1940928270042194,0.012571161823356058,0.3309314169380061
864691135758468430_0,16,15.999999975813838,0.06751054852320675,0.00257371098290475,0.3235445549527828
864691135758860366_0,18,17.999999978992992,0.07594936708860758,0.026822846293033675,0.23129993715773406
864691135761543478_0,23,22.999999967581324,0.0970464135021097,0.00029681440992639015,0.34185839768595916
864691135771601659_0,55,54.999999932569125,0.23206751054852318,0.014755619694257706,0.3546850586105547
864691135771659595_0,10,9.99999998772495,0.04219409282700422,0.008030880240883876,0.17576551408914312
864691135771707467_0,12,11.999999982950953,0.050632911392405056,0.013919519311144221,0.2542946677523626
864691135776633184_0,5,4.999999994539499,0.02109704641350211,3.716459649949925e-05,0.14922576590821554
864691135776756064_0,62,61.99999992342197,0.26160337552742613,0.008843532779296847,0.38278510726808107
